English ,Czech,Deutsch,Spanish,French,Italian,Polish,Portuguese,Russian,Turkish,Chinese,
Humidity,Vlhkost vzduchu,Luftfeuchtigkeit,Humedad,Humidité,Umidità,Wilgotność,Umidade,Влажность,Nem,湿度,
Rainfall,Dešťové srážky,Niederschlag,Precipitación,Précipitations,Precipitazioni,Opady deszczu,Precipitação,Дождевые осадки,Yağış,降雨量,
AccumETo,AccumETo,AkkumETo,ETo Acum.,ETo accum.,AccumETo,AccumETo,ET acumulada,Общ. испарение,Toplam ETo,AccumETo,
Previous Day ETo,Předchozí den ETo,ETo Vortag,ETo del día anterior,ETo du jour précédent,ETo Giorno precedente,ETo z poprzedniego dnia,ET do dia anterior,Испарение за пред. день,Önceki Gün ETo,前一天 ETo,
 inch, palec,Zoll,pulgadas,pouce,pollici,cal,polegada,дюйм,inç,英寸,
Water Source Flow,Průtok vodního zdroje,Durchfluss Wasserquelle,Caudal de la fuente de agua,Débit de la source d'eau,Portata della fonte idrica,Przepływ źródła wody,Vazão da fonte de água,Расход на источнике,Su Kaynağı Debisi,水源流量,
 GPM, GPM,GPM,GPM,GPM,GPM,galon/min,GPM,Гал/мин,GPM,GPM,
Discharge Flow Status,Stav vypouštěného průtoku,Status der Abflussmenge,Estado de caudal de descarga,État du débit de décharge,Stato della portata di scarico,Stan przepływu opróżniania,Status da vazão de descarga,Расход на выходе,Deşarj Debi Durumu,排水流量状态,
Alarmed FZ:,Alarm. FZ,Alarm FZ,Alrm. ZF,Alrm. ZF,Allarm. ZF,Alarm. SF,Alrm. ZF,Трев. ЗФ,Alarm ZB,报警FZ,
Active FZ:,Akt. FZ,Akt. FZ,Act. ZF,Act. ZF,Att. ZF,Akty. SF,Ativ. ZF,Актив. ЗФ,Aktif ZB,活跃FZ,
Flow Rate ,Průtok ,Flowrate,Tasa de caudal,Débit,Portata,Natężenie przepływu,Taxa de vazão,Расход,Debi Hızı,流量,
Flow Total,Celkový průtok,Durchfluss gesamt,Caudal Total,Débit total,Totale portata,Całkowity przepływ,Total de vazão,Общий расход,Debi Toplamı,总流量,
Daily,Denně,Täglich,Diariamente,Tous les jours,Ogni giorno,Codziennie,Diário,Каждый день,Günlük,每日,
Weekly,týdně,wöchentlich,semanal,hebdomadaire,settimanale,co tydzień,semanal,Еженедельно,haftalık,每周,
Monthly,měsíčně,monatlich,mensual,mensuel,mensile,co miesiąc,mensal,Ежемесячно,aylık,每月,
Yearly,ročně,jährlich,anual,annuel,annuale,co rok,anual,Ежегодно,yıllık,每年,
Unified Commands ,Sjednocené příkazy ,Einheitliche Befehle,Comandos unificados,Commandes unifiées,Comandi unificati,Ujednolicone polecenia,Comandos unificados,Единые команды,Birleşik Komutlar,统一指令,
Site Operation Actions,Provozní činnosti na místě,Aktionen für den Standort,Acciones de operación del sitio,Actions d'exploitation du site,Azioni operative del sito,Działania w terenie,Ações de operação do local,Действия на объекте,Alan Çalıştırma İşlemleri,现场操作行为,
Auto Shutdown Stop Irrigation,Automatické vypnutí zavlažování,Automatische Abschaltung Bewässerungsstopp,Apagado automático del riego,Arrêt automatique de l'arrosage,Arresto automatico dell'irrigazione,Automatyczne wyłączanie nawadniania,Parar irrigação com desligamento automático,Автоматическое отключение полива,Otomatik Kapatma Sulama Durdurma,自动关闭停止灌溉,
Days Off,Dny bez zavlažování,Tage ohne Bewässerung,Días sin riego,Jours off,Giorni di inattività,Dni bez nawadniania,Dias sem rega,Дни отключения,Kapalı Günler,关闭天数,
Number Of Days :,Počet dní ,Anzahl der Tage,Número de días,Nombre de jours,Numero di giorni,Liczba dni,Número de dias:,Количество дней,Gün Sayısı,天数,
OFF,vyp,aus,OFF,OFF,OFF,WYŁ.,desl.,ВЫКЛ,OFF,关闭,
Global Seasonal Adjustment,Globální sezónní nastavení,Globale saisonale Anpassung,Ajuste estacional global,Réglage saisonnier global,Regolazione stagionale globale,Globalna regulacja sezonowa,Ajuste sazonal global,Глобальная сезонная корректировка,Global mevsimsel ayarlama,全局季节调整,
Seasonal :,Sezónní ,Saisonal,Estacional,Saisonnier,Stagionale,Sezonowe,Sazonal,Сезонная,Mevsimsel,季节性,
Suspend,Vypnout,Aussetzen,Suspender,Suspendre,Sospendi,Wstrzymaj,Suspender,Приостановить,Askıya Al,中止,
Pause, Pauza,Pause,Pausar,Pause,Pausa,Wstrzymaj,Pausar,Пауза,Duraklat,暂停,
Apply,Použití ,Anwd.,Apl.,Appl.,Appl.,Zast.,Apl.,Прим.,Uygula,应用,
Cancel,Zrušit,Abbr.,Canc.,Annul.,Annull.,Anul.,Canc.,Отм.,İptal,取消,
Top 10 Alarmed Controllers,10 nejlepších alarmových ovládacích jednotek,Top 10 Steuergeräte mit Alarm,Los 10 principales programadores con alarma,Top 10 des programmateurs activés,Top 10 programmatori con allarmi,10 najlepszych sterowników z alarmami,Os 10 principais controladores com alarme ativado,Топ 10 контроллеров с аварийными сигналами,İlk 10 Alarmlı Kontrol Ünitesi,报警最严重的10台控制器,
Rest,Zbytek,Rest,Reposo,Autres,Resto,Pozostałe,Descansar,Остальные,Dinlenme,休息,
Total Current Draw,Celk. pr.,Ges. Strom,Tot. corr.,Tot. courant,Tot. corr.,Razem prąd,Tot. corrente,Общ. ток,Top. akım,总电流消耗,
Total Current:,Celkový proud,Gesamtstrom,Corriente total,Courant total,Totale corrente,Prąd – łącznie,Total de corrente,Общий ток,Toplam Akım,总电流,
Amp,Amp,Amp,Amp,Amp,Amp,Amp,Amp,А,Amp,安培,
Alarm Analysis ,Analýza alarmů ,Alarmanalyse,Análisis de la alarma,Analyse d'alarme,Analisi degli allarmi,Analiza alarmów,Análise de alarmes,Анализ аварийных сигналов,Alarm Analizi,警报分析,
Total Alarms:,Celk. alarmy,Ges. Alarme,Tot. alarmas,Tot. alarmes,Tot. allarmi,Razem alarmy,Tot. alarmes,Всего тревог,Toplam alarm,总警报,
Cleared:,Akt.,Akt.,Act.,Act.,Att.,Aktyw.,Ativo,Актив.,Aktif,活跃,
Active:,Vyč.,Gel.,Borr.,Eff.,Canc.,Usun.,Limp.,Очищ.,Temizl.,清除,
Controller Info,Informace o řadiči,Steuergerät Info,Información del programador,Informations du contrôleur,Info programmatore,Informacje o sterowniku,Informações do controlador,Инфо контрол.,Kontrol Ünitesi Bilgisi,控制器信息,
Controller Date/Time,Datum/čas ovladače,Steuergerät Datum/Uhrzeit,Fecha/Hora del controlador,Date/heure du programmateur,Data/ora del programmatore,Data/godzina sterownika,Data/Hora do controlador,Дата/время на контроллере,Kontrol Ünitesi Tarih/Saat,控制器日期/时间,
Time ,Čas ,Zeit,Hora,Heure,Tempo,Czas,Tempo,Время,Süre,时间,
Date,Datum,Datum,Fecha,Date,Data,Data,Data,Дата,Tarih,日期,
Display Language,Jazyk zobrazení,Anzeigesprache,Idioma de pantalla,Langue d'affichage,Lingua di visualizzazione,Język wyświetlania,Idioma de exibição,Язык отображения,Görüntüleme dili,显示语言,
Display Units,Zobrazovací jednotky,Anzeigeeinheiten,Unidades de pantalla,Unités d'affichage,Unità di visualizzazione,Jednostki wyświetlania,Unidades de exibição,Единицы отображения,Görüntüleme birimleri,显示单位,
Firmware Version,Verze firmwaru,Firmware-Version,Versión de firmware,Version micrologiciel,Versione del firmware,Wersja oprogramowania,Versão do firmware,Версия прошивки,Yazılım Sürümü,固件版本,
Station Size ,Velikost stanice ,Stationsgröße,Número de estaciones,Nombre de station,Dimensione Stazione,Rozmiar sekcji,Tamanho do setor,Число станций,İstasyon Boyutu,站点大小,
Controller Type,Typ ovladače,Steuergerätetyp,Tipo de controlador,Type de contrôleur,Tipo di controller,Typ kontrolera,Tipo de controlador,Тип контроллера,Kontrolör Türü,控制器类型,
Controller Status,Stav ovládací jednotky,Status des Steuergeräts,Estado del programador,État du programmateur,Stato del programmatore,Stan sterownika,Status do controlador,Состояние контроллера,Kontrol Ünitesi Durumu,控制器状态,
Shutdown ,Vypnutí ,Abschalten,Apagado,Éteindre,Arresto,Wyłączenie,Desligamento,Выключение,Kapatma,关闭,
Days Off Active,Dny vypnuto aktivní,Tage ohne Bewässerung aktiviert,Días sin riego activos,Jours sans arrosage activés,Giorni di inattività abilitato,Dni bez aktywnego nawadniania,Dias sem rega ativos,Активные дни отключения,Aktif Olmayan Günler,关闭天数已激活,
Irrigating ,Zavlažování ,Bewässerung läuft,Regando,Arrosage en cours,Sta irrigando,Nawadnianie,Irrigando,Полив,Suluyor,灌溉中,
Remaining Days Off,Zbývající dny volna,Verbleibende freie Tage,Días libres restantes,Jours de congé restants,Giorni liberi rimanenti,Pozostałe dni wolne,Dias de folga restantes,Ост. Выходные,Kalan İzin Günleri,剩余休假天数,
Days,Dny,Tage,días,jours,Gg.,Dni,dias,дней,gün,天数,
GPM,GPM,GPM,GPM,GPM,GPM,galon/min,GPM,Гал/мин,GPM,GPM,
LPM,LPM,L/min,LPM,l/min,LPM,l/min,LPM,л/мин,L/dak,LPM,
Controller Flow Rate ,Říd. průt.,Steuer. Fl.,Cont. flujo,Débit ctrl.,Flusso ctrl.,Przep. ster.,Fluxo ctrl.,Поток контр.,Kont. akış,控制器流量,
Clik Sensor 1,Senzor Clk 1,Clik Sensor 1,Sensor de Clk 1,Sonde Clik 1,Sensore Clk 1,Czujnik Clik 1,Sensor Clk 1,Датчик Clik 1,Clik Sensörü 1,Clk 传感器 1,
Clik Sensor 2,Senzor Clk 2,Clik Sensor 2,Sensor de Clk 2,Sonde Clik 2,Sensore Clk 2,Czujnik Clik 2,Sensor Clk 2,Датчик Clik 2,Clik Sensörü 2,Clk 传感器 2,
Clik Sensor 3,Senzor Clk 3,Clik Sensor 3,Sensor de Clk 3,Sonde Clik 3,Sensore Clk 3,Czujnik Clik 3,Sensor Clk 3,Датчик Clik 3,Clik Sensörü 3,Clk 传感器 3,
InActive,Neaktivní,Inaktiv,Inactivo,Inactif,Inattivo,Nieaktywne,Inativo,Неактивен,Aktif değil,未激活,
Active,blokuje zavlažování,aktiv,activo,Active,Attivo,Aktywny,Ativo,активен,etkin,激活,
Controller Alarm,Poplach Řadiče,Controller-Alarm,Alarma del Controlador,Alarme du Contrôleur,Allarme del Controller,Alarm Kontrolera,Alarme do Controlador,Тревога Контроллера,Kontrolör Alarmı,控制器警报,
Alarm  Info,Informace o alarmu,Alarminfo,Información de la alarma,Informations sur l'alarme,Informazioni sull'allarme,Informacje o alarmie,Informações do alarme,Об аварийном сигнале,Alarm Bilgisi,警报信息,
Station Size is Zero,Velikost stanice je nula,Stationsgröße ist Null,El número de estaciones es cero,Le nombre de station est de zéro,La dimensione della stazione è zero,Rozmiar sekcji wynosi zero,O tamanho do setor é zero,Число станций равно 0,İstasyon Boyutu Sıfır,站点大小为零,
Power Outage Detected,Výpadek,Stromausfall,Corte energía,Panne courant,Blackout,Awaria zasil.,Falha energia,Отключ. питания,Güç kesintisi,停电,
Max.  Transformer Current,Max proud,Max Strom,Máx corriente,Courant max,Corrente max,Maks prąd,Corrente máx,Макс ток,Maks. akım,最大电流,
Decoder Module is Overloaded,Dek. přetíž.,Dek. überlast.,Decod. sobrec.,Décod. surch.,Decoder sovr.,Dek. przeciąż.,Decod. sobrec.,Дек. перегруз.,Dekoder aşırı,解码器过载,
Low Voltage Fault Detected,Nízké nap.,Niedersp.,Baja voltaje,Basse tension,Bassa tensione,Niskie napięcie,Baixa tensão,Низк. напр.,Düşük voltaj,低电压故障,
Station Fault Detected,Chyba st.,Stationsfehler,Falla estación,Défaut station,Guasto staz.,Błąd stacji,Falha estação,Станц. ошибка,İstasyon hatası,站点故障,
P/MV Fault Detected,Chyba P/MV,P/MV-Fehler,Falla P/MV,Défaut P/MV,Guasto P/MV,Błąd P/MV,Falha P/MV,Ошибка P/MV,P/MV hatası,P/MV故障,
Sensor Decoder Fault Detected,Chyba senz.,Sensorfehler,Falla sensor,Défaut capteur,Guasto sensore,Błąd czujnika,Falha sensor,Ошибка датчика,Sensör hatası,传感器故障,
Station Flow Alarm Detected,Alarm průt.,Flussalarm,Alarma flujo,Alarme débit,Allarme flusso,Alarm przepł.,Alarme fluxo,Поток тревога,Akış alarmı,流量警报,
MainSafe/Flow Zone Alarm Detected,Alarm zóny,Zonenalarm,Alarma zona,Alarme zone,Allarme zona,Alarm strefy,Alarme zona,Зона тревога,Bölge alarmı,区域警报,
Clik Sensor Alarm Detected,Alarm Clik,Clik-Alarm,Alarma Clik,Alarme Clik,Allarme Clik,Alarm Clik,Alarme Clik,Тревога Clik,Clik alarmı,Clik警报,
Weather Sensor Com. Fault,Chyba počasí,Wetter Fehler,Falla sensor,Défaut météo,Guasto meteo,Błąd pogody,Falha meteor.,Ошибка погоды,Hava sensör hat.,天气故障,
RTC Fault Detected,Chyba RTC,RTC-Fehler,Falla RTC,Défaut RTC,Guasto RTC,Błąd RTC,Falha RTC,Ошибка RTC,RTC hatası,RTC故障,
CAN Bus Fault Detected,Chyba CAN,CAN-Fehler,Falla CAN,Défaut CAN,Guasto CAN,Błąd CAN,Falha CAN,Ошибка CAN,CAN hatası,CAN故障,
Weather Sensor Alarm Detected,Alarm počasí,Wetter-Alarm,Alarma sensor,Alarme météo,Allarme meteo,Alarm pogody,Alarme meteor.,Тревога погоды,Hava alarmı,天气警报,
Clik Sensor Rain Delay Alarm,Zpož. deště,Regenverzöger.,Retraso lluvia,Retard pluie,Ritardo pioggia,Opóźn. deszczu,Atraso chuva,Задержка дождя,Yağmur gecik.,雨延迟,
NWW Violation Detected,Poruš. NWW,NWW-Verstoß,Infracción NWW,Violation NWW,Violazione NWW,Naruszenie NWW,Violação NWW,Наруш. NWW,NWW ihlali,NWW违规,
Weather Sensor Rain Delay Alarm,Alarm deště,Regen-Alarm,Alarma lluvia,Alarme pluie,Allarme pioggia,Alarm deszczu,Alarme chuva,Тревога дождя,Yağmur alarmı,雨警报,
Controller Information,Info řadiče,Steuer. Info,Info control.,Info contrôle,Info controller,Info sterown.,Info control.,Инфо контрол.,Kontrol bilgi,控制器信息,
Controller is Irrigating,Zavlažuje,Bewässert,Regando,Irrigue,Irrigando,Nawadnia,Irrigando,Орошает,Sulama,灌溉,
Shutdown is Active,Vypnutí akt.,Abschalt. akt.,Apagado act.,Arrêt actif,Speg. attivo,Wyłącz. akt.,Deslig. ativo,Откл. активно,Kapatma akt.,关机已启用,
Days off Active,Dny volna akt.,Ruhetage akt.,Días libres,Jours repos,Giorni pausa,Dni wolne,Dias folga,Выходные актив.,Tatil günleri,休息日已启用,
Controller Suspend is Active,Pozastav. akt.,Pausiert akt.,Suspendido act.,Suspension act.,Sospeso attivo,Wstrzym. akt.,Suspenso ativo,Приост. акт.,Askıya alındı,暂停已启用,
Controller Pause is Active,Pauza akt.,Pause akt.,Pausa act.,Pause active,Pausa attiva,Pauza akt.,Pausa ativa,Пауза активна,Duraklatma akt.,暂停已启用,
Clik Sensor is Active,Clik akt.,Clik aktiv,Clik activo,Clik actif,Clik attivo,Clik aktywny,Clik ativo,Clik активен,Clik aktif,Clik已启用,
Station Size Changed,Velik. změněna,Größe geändert,Tamaño camb.,Taille modif.,Dimens. cambiata,Rozmiar zmien.,Tamanho alter.,Размер изм.,Boyut değişti,大小已更改,
Controller Inventory Changed,Inv. změněn,Bestand geänd.,Inventario camb.,Invent. modif.,Inventario camb.,Inwentarz zm.,Inventário alt.,Инвент. изм.,Envanter değiş.,库存已更改,
Data was Reset,Reset dat,Daten-Reset,Restablecer dat,Données reset,Reset dati,Reset danych,Reset dados,Данные сброш.,Veri sıfırla,数据已重置,
Configuration was Updated,Konfig. akt.,Konfig. akt.,Config. act.,Config. maj.,Config. aggior.,Konfig. zakt.,Config. att.,Конфиг. обнов.,Yapılandırma,配置已更新,
Make is Active,Make akt.,Make aktiv,Make activo,Make actif,Make attivo,Make aktywny,Make ativo,Make активен,Make aktif,Make已启用,
Time/Date was Updated,Čas/dat akt.,Zeit/Datum akt.,Hora/Fecha act.,Heure/Date maj.,Ora/Data aggior.,Czas/Data akt.,Hora/Data att.,Время/Дата акт.,Zaman/Tarih,时间/日期已更新,
Active Event List Full,Seznam plný,Liste voll,Lista llena,Liste pleine,Elenco pieno,Lista pełna,Lista cheia,Список полон,Olay list. dolu,事件列表已满,
A Program was Stopped,Program stop,Programm stop,Programa stop,Programme stop,Programma stop,Program stop,Programa stop,Программа стоп,Program durdu,程序已停止,
A Block was Stopped,Blok stop,Block stop,Bloque stop,Bloc stop,Blocco stop,Blok stop,Bloco stop,Блок стоп,Blok durdu,区块已停止,
A Station or PMW was Stopped,Stanice stop,Station stop,Estación stop,Station stop,Stazione stop,Stacja stop,Estação stop,Станция стоп,İstasyon durdu,站点已停止,
All Irrigation was Stopped,Zavlaž. stop,Bewässer. stop,Riego stop,Irrigation stop,Irrigazione stop,Nawadnianie stop,Irrigação stop,Орошение стоп,Sulama durdu,灌溉已停止,
Condition Response Statement Started,Podmínka akt.,Beding. akt.,Condición ini.,Condition act.,Condizione avv.,Warunek akt.,Condição ini.,Условие запущ.,Koşul başladı,条件已启动,
Weather Sensor is Active,Počasí akt.,Wetter akt.,Clima activo,Météo actif,Meteo attivo,Pogoda aktywna,Clima ativo,Погода активна,Hava akt.,天气已启用,
Decoder Wire Test Mode Active,Test drátu akt.,Draht Test akt.,Prueba cable,Test fil act.,Test filo att.,Test przew. akt.,Teste fio akt.,Тест провода,Kablo testi,线路测试模式,
Controller Flow Diagnostic is Active,Diagn. průt.,Flussdiagnose,Diagnóstico flujo,Diagnostic débit,Diagnostica flusso,Diagnostyka przepływu,Diagnóstico fluxo,Диагност. потока,Akış teşhisi,流量诊断,
Diagnostics,Diagnostika,Diagnosen,Diagnósticos,Diagnostic,Diagnostica,Diagnostyka,Diagnósticos,Диагностика,Arıza Tespiti,诊断,
Alarm Info ,Informace o alarmu ,Alarminfo,Información de la alarma,Informations sur l'alarme,Informazioni sull'allarme,Informacje o alarmie,Informações do alarme,Информация о сингале,Alarm Bilgisi,警报信息,
Module Info,Informace o modulu,Modulinformationen,Información de módulo,Module Info,Info modulo,Info o module,Info do módulo,Информация о модуле,Modül Bilgisi,模块信息,
Module 1,Modul 1,Modul 1,Módulo 1,Module 1,Modulo 1,Moduł 1,Módulo 1,Модуль 1,Modül 1,模块 1,
Module 2,Modul 1,Modul 1,Módulo 2,Module 2,Modulo 2,Moduł 2,Módulo 2,Модуль 2,Modül 2,模块 2,
Module 3,Modul 1,Modul 1,Módulo 3,Module 3,Modulo 3,Moduł 3,Módulo 3,Модуль 3,Modül 3,模块 3,
Trend Viewer,Prohlížeč Trendů,Trendanzeige,Visor de Tendencias,Visualisateur de Tendances,Visualizzatore di Tendenza,Przeglądarka Trendów,Visualizador de Tendências,Просмотр Трендов,Trend Görüntüleyici,趋势查看器,
Current,Aktuální,Aktuell,Actual,Actuel,Corrente,Bieżąca,Atual,Текущая,Mevcut,电流,
Transformer,Transformátor,Transformator,Transformador,Transformateur,Trasformatore,Transformator,Transformador,Трансформатор,Transformatör,变压器,
  mA,  mA,mA,mA,mA,mA,mA,mA,мА,mA,mA,
Module is Installed ,Modul je nainstalován,Modul ist installiert,El módulo está instalado,Le module est installé,Il modulo è installato,Moduł jest zainstalowany,Módulo está instalado,Модуль установлен,Modül Yüklendi,模块已安装,
is Installed ,Je nainstalováno ,ist installiert,está instalado,Est installé,è installato,Zainstalowano,está instalado,установлен,Yüklendi,已安装,
Overload Status,Stav přetížení,Überlaststatus,Estado de sobrecarga,État de surcharge,Stato di sovraccarico,Status przeciążenia,Status de sobrecarga,Состояние перегрузки,Aşırı Yük Durumu,过载状态,
Path Status ,Stav cesty ,Leitungsstatus,Estado del cable,État du signal,Stato del percorso,Status ścieżki,Status do circuito,Состояние проводки,Hat Durumu,回路状态,
Output Mode,Režim výstupu,Ausgangsmodus,Modo de salida,Mode de sortie,Modalità di uscita,Tryb wyjściowy,Modo de saída,Режим на выходе,Çıkış Modu,输出模式,
Watering Status,Stav zavlažování,Beregnungsstatus,Estado del riego,État de l'arrosage,Stato irrigazione,Status nawadniania,Status da rega,Состояние полива,Sulama Durumu,灌溉状态,
Lock Out Time  ,Čas uzamčení  ,Lockout Zeit,Tiempo de bloqueo,Temps de verrouillage,Tempo di blocco,Czas blokady,Tempo de bloqueio,Время блокировки,Kilitlenme Süresi,锁定时间,
Sec,sek,Sek,s,sec,Sec,Sek,s,с,sn,秒,
Current Draw,Aktuální odběr proudu,Stromaufnahme,Corriente,Consommation de courant,Assorbimento di corrente,Pobór prądu,Consumo de corrente,Рабочий ток,Anlık Akım,耗电量,
Trend ,Trend ,Trend,Tendencia,Tendance,Tendenza,Tendencja,Tendência,Тенденция,Trend,趋势,
 Module, Modul,Modul,Módulo,Module,Modulo,Moduł,Módulo,Модуль,Modül,模块,
PMV,PMV,PMV,B/VM,PMV,PMV,PMV,PMV,P MV,PMV,PMV,
Station,Stanice ,Station,Estac.,Station,Staz.,Sekcja,Setor,Станция,İstas.,站点,
Device Number :,Číslo zařízení :,Gerätenummer :,Número del dispositivo :,Numéro de l'appareil :,Numero dispositivo :,Numer urządzenia :,Número do dispositivo :,Номер устройства :,Cihaz Numarası :,设备编号 :,
Device Info,Informace o zařízení,Geräteinfo,Información del dispositivo,Informations sur l'appareil,Informazioni dispositivo,Informacje o urządzeniu,Informações do dispositivo,Информация об устройстве,Cihaz Bilgisi,设备信息,
Device Type,Typ zař.,Gerätetyp,Tipo disp.,Type app.,Tipo disp.,Typ urz.,Tipo disp.,Тип устр.,Cihaz türü,设备类型,设备类型
Device Number ,Číslo zařízení ,Gerätenummer,Número del dispositivo,Numéro de l'appareil,Numero dispositivo,Numer urządzenia,Número do dispositivo,Номер устройства,Cihaz Numarası,设备编号,
No,Ne,Nein,No,Non,No,Nie,Não,Нет,Hayır,否,
Yes ,Ano ,Ja,Sí,Oui,Sì,Tak,Sim,Да,Evet,是,
 Load Present, Zatížení přítomné,Last anliegend,Carga presente,Charge présente,Carica presente,Pobierz,Carga presente,Есть нагрузка,Yük Mevcut,存在负载,
Device Current Draw (Last Reading),Aktuální odběr proudu zařízení (poslední čtení),Stromaufnahme des Geräts (letzter Messwert),Consumo de corriente del dispositivo,Consommation de courant de l'appareil,Assorbimento del dispositivo (ultima lettura),Pobór prądu urządzenia (ostatni odczyt),Consumo de corrente do dispositivo,Рабочий ток устройства (последнее показание),Cihaz Anlık Akım (Son Okuma),设备耗电量（上次读数）,
Decoder Communication  %, Komunikace dekodéru ,Decoder Kommunikation,Comunicación del decodificador,Communication avec le décodeur,Comunicazione decoder,Komunikacja dekodera,Comunicação do decodificador,Связь с декодером,Dekoder İletişimi,解码器通信,
Station,Stanice,Station,Estac.,Station,Staz.,Sekcja,Setor,Станция,İstas.,站点,
 Sensor, Senzor,Sensor,Sensores,Sonde,Sensore,Czujnika,Sensor,Датчик,Sensör,传感器,
